TARA_4 TARA_7 TARA_9 TARA_11 TARA_18 TARA_20 TARA_22 TARA_23 TARA_25 TARA_26 TARA_30 TARA_142 TARA_143 TARA_144 TARA_145 TARA_146 TARA_147 TARA_148 TARA_149 TARA_150 TARA_151 TARA_152 TARA_66 TARA_67 TARA_68 TARA_70 TARA_72 TARA_76 TARA_78 TARA_80 TARA_81 TARA_82 TARA_83 TARA_84 TARA_85
TARA_143 928.146513931402 1360.06643647901 1429.51527369348 1650.2395698894 1496.37778549217 1576.18408686751 1649.07995234284 1682.9804575477 1646.89519348515 1671.62158540239 1882.32080983011 90.9935066030041 NA 27.1920021761013 56.4947457431234 57.7859020088929 470.311315780813 530.374688680857 583.388807616312 884.639683210695 972.196770945298 574.564113620454 884.216114094181 891.017805969523 979.308375774034 713.735908698249 346.51165143379 605.695292043913 2604.10742449243 2601.53879925739 2741.78503699085 2484.38973754117 2568.48290109249 2630.44365066395 3093.55636506508
TARA_144 908.364769729256 1345.13207313253 1414.580910347 1636.07065451506 1481.44342214568 1561.24972352102 1634.14558899635 1668.04609420121 1631.96083013866 1656.55819485756 1867.38644648362 99.1776946023329 27.1920021761013 NA 37.9415282368053 164.716674367988 419.747173369239 429.194285453942 404.085336201558 770.111437342022 930.466152523904 556.741988431691 898.557756269815 905.359448145156 993.650017949668 728.077550873883 360.853293609424 620.036934219547 2618.44906666807 2615.88044143302 2756.12667916649 2498.7313797168 2583.1861306901 2644.78529283958 3107.89800724072
TARA_145 2555.5783426188 2940.96513997528 3010.41397718975 3206.55361612531 3077.27648898843 3157.08279036377 3229.9786558391 3263.87916104396 3227.79389698141 3210.19418465602 3463.21951332637 126.886174097715 56.4947457431234 37.9415282368053 NA 270.387284805726 1914.04214556568 1216.43704928447 1977.72901214015 2430.99985753959 2542.31108473029 2158.76981515802 920.997972812783 927.799664688124 1016.09023449264 750.51776741685 383.293510152392 642.477150762514 2640.88928321103 2638.32065797599 2778.56689570945 2521.17159625977 2605.29191707784 2667.22550938255 3130.33822378368
TARA_146 1036.7022193896 1470.89427162423 1540.34310883871 1761.54549575204 1607.20562063739 1687.01192201273 1759.90778748806 1793.80829269292 1757.72302863037 1781.04490450384 1993.14864497533 130.479698250332 57.7859020088929 164.716674367988 270.387284805726 NA 157.558313994547 208.671459763924 557.188234466063 934.717338523183 1037.19036222647 688.031775460434 930.883588061785 937.685279937126 1025.97584974164 760.403382665853 393.179125401394 652.362766011517 2650.77489846004 2648.20627322499 2788.45251095845 2531.05721150877 2615.37104057895 2677.11112463155 3140.22383903269
TARA_147 1236.25898809672 2920.00767699108 2989.45651420555 3223.44301209058 3056.31902600424 3136.12532737958 3209.02119285491 3242.92169805977 3206.83643399721 3258.86613553559 3442.26205034217 532.87621544578 470.311315780813 419.747173369239 1914.04214556568 157.558313994547 NA 65.3263819365434 516.832845534477 1387.84491601774 1647.19385257167 2072.53807009597 1335.50642548383 1342.42268776612 1430.51644033081 1166.13558777916 797.599707318334 1056.93633884754 3055.26611835488 3052.69749311984 3192.9437308533 2935.54843140361 3020.60427216367 3081.6023445264 3544.71505892753
TARA_148 1062.61665536211 2489.4505707712 2558.89940798567 2789.17271066991 2625.76191978436 2705.5682211597 2778.46408663503 2812.36459183989 2776.27932777734 2799.16309701371 3011.7049441223 576.489387191188 530.374688680857 429.194285453942 1216.43704928447 208.671459763924 65.3263819365434 NA 405.074287156816 1202.98691279503 1453.65068836589 1728.52157136246 1252.59841964408 1259.51468192637 1348.42563430501 1084.09302043626 714.450463454674 975.001139426216 2973.31980782245 2970.75118258741 3110.99742032087 2853.60212087118 2936.380824499 2999.65603399397 3462.7687483951
TARA_149 879.373005892752 1268.12965677796 1337.57849399243 1555.53838181459 1404.44100579112 1484.24730716646 1557.14317264179 1591.04367784664 1554.95841378409 1581.48608904263 1790.38403012905 636.9173408826 583.388807616312 404.085336201558 1977.72901214015 557.188234466063 516.832845534477 405.074287156816 NA 383.101757466166 451.091354770584 1302.27295415676 1371.44346948632 1378.18346252938 1467.75451446244 1201.66322031062 833.499534169493 1093.56712130045 2185.07782366307 2164.82363232101 2404.41570066845 2405.04076314261 3056.19790474596 3118.2220158682 3552.92674450827
TARA_150 626.039989040397 1012.36061716912 1081.80945438359 1298.98825274549 1148.67196618228 1228.47826755762 1301.37413303295 1335.2746382378 1299.18937417525 1321.74203607584 1534.61499052021 949.747158651298 884.639683210695 770.111437342022 2430.99985753959 934.717338523183 1387.84491601774 1202.98691279503 383.101757466166 NA 194.154079185739 428.484299068543 1779.23564790492 1794.29806461198 1863.95781633397 1589.50565788854 1225.06861343226 1455.21745608661 2482.51480880781 2461.83979627708 2701.43186462452 2702.05692709868 3420.60668422356 3479.96581470665 3849.94290846434
TARA_151 523.417056704406 902.590529802065 972.039367016535 1190.72841484624 1038.91175875872 1118.71806013406 1191.61392560939 1225.51443081425 1189.4291667517 1207.61159853217 1424.85478309666 1013.96237062479 972.196770945298 930.466152523904 2542.31108473029 1037.19036222647 1647.19385257167 1453.65068836589 451.091354770584 194.154079185739 NA 403.747635104255 1844.31827631596 1854.79579670888 2104.95363984864 1897.57409427788 1564.7603674444 1603.7493802625 2161.60723695238 2141.22734388361 2380.81941223105 2381.44447470521 3562.14545069119 3332.87661221563 3529.33045607087
TARA_152 340.439528910014 758.539194711617 827.988031926087 1047.27974438181 894.860423668276 974.666725043615 1047.56259051895 1081.4630957238 1045.37783166125 1067.50784660809 1280.80344800621 650.472024677241 574.564113620454 556.741988431691 2158.76981515802 688.031775460434 2072.53807009597 1728.52157136246 1302.27295415676 428.484299068543 403.747635104255 NA 2294.86316379226 2313.36184548793 2208.71049318276 1644.05196534479 1082.89143742303 1156.97885055006 2043.53462211846 2023.15472904969 2262.74679739713 2263.37185987129 3119.39050191939 3181.7272091701 3411.25784123696
TARA_66 2269.08820341057 2701.1502246737 2770.59906188817 2984.86139683365 2837.46157368686 2917.2678750622 2990.16374053753 3024.06424574239 2987.97898167984 3009.2617801686 3223.40459802479 839.662830303435 884.216114094181 898.557756269815 920.997972812783 930.883588061785 1335.50642548383 1252.59841964408 1371.44346948632 1779.23564790492 1844.31827631596 2294.86316379226 NA 36.0409825212399 223.182931189258 238.674503800984 738.873618405882 670.873664799507 874.432139564271 908.11922000764 951.012437188499 915.23651709444 923.343394403982 939.590259261525 1184.4782209309
TARA_67 2281.5342071727 2711.62774506662 2781.07658228109 2995.42086525252 2847.93909407978 2927.74539545511 3000.64126093045 3034.5417661353 2998.45650207275 3018.83560930919 3233.88211841771 846.464522178776 891.017805969523 905.359448145156 927.799664688124 937.685279937126 1342.42268776612 1259.51468192637 1378.18346252938 1794.29806461198 1854.79579670888 2313.36184548793 36.0409825212399 NA 171.88061773607 244.369059470672 745.704546605404 676.856494127559 880.360343324026 914.089358227957 981.082487693876 945.310865027755 953.619183417031 968.504108088938 1238.43310267795
TARA_68 2085.96801826736 2972.48602317281 3041.93486038728 3256.90329840999 3108.79737218596 3188.6036735613 3261.49953903663 3295.40004424149 3259.31478017894 3275.85721382523 3494.7403965239 934.755091983288 979.308375774034 993.650017949668 1016.09023449264 1025.97584974164 1430.51644033081 1348.42563430501 1467.75451446244 1863.95781633397 2104.95363984864 2208.71049318276 223.182931189258 171.88061773607 NA 281.865029081918 819.242566691017 683.537978699404 767.183111435298 753.520811483803 658.942246691505 620.004564742118 630.860227532306 643.014681849982 701.225615310455
TARA_70 1836.05652201887 2791.7717568236 2861.22059403807 3073.59883633949 2928.08310583676 3007.8894072121 3080.78527268743 3114.68577789229 3078.60051382974 3097.32596104603 3314.02613017469 669.182624907503 713.735908698249 728.077550873883 750.51776741685 760.403382665853 1166.13558777916 1084.09302043626 1201.66322031062 1589.50565788854 1897.57409427788 1644.05196534479 238.674503800984 244.369059470672 281.865029081918 NA 538.269716307255 436.947020804441 640.651997076938 673.802963037526 892.137876421411 841.115594616422 851.330379483738 859.782366532432 1007.98500158913
TARA_72 1271.51141600052 2428.33557745913 2497.7844146736 2715.81620374973 2564.64692647229 2644.45322784763 2717.34909332296 2751.24959852782 2715.16433446527 2741.4740371999 2950.58995081022 302.04072058422 346.51165143379 360.853293609424 383.293510152392 393.179125401394 797.599707318334 714.450463454674 833.499534169493 1225.06861343226 1564.7603674444 1082.89143742303 738.873618405882 745.704546605404 819.242566691017 538.269716307255 NA 384.585269826296 610.533095358966 590.495235078261 829.88987496794 830.712365899861 1522.84657235909 1534.22918725933 1706.39565167328
TARA_76 1678.93174117943 2520.12089305144 2589.56973026591 2807.9650698319 2656.4322420646 2736.23854343994 2809.13440891527 2843.03491412013 2806.94965005758 2821.2632013991 3042.37526640253 561.224361194343 605.695292043913 620.036934219547 642.477150762514 652.362766011517 1056.93633884754 975.001139426216 1093.56712130045 1455.21745608661 1603.7493802625 1156.97885055006 670.873664799507 676.856494127559 683.537978699404 436.947020804441 384.585269826296 NA 278.77414968776 274.082749408019 513.626780801558 514.251843275719 1781.40803920903 1465.68398078614 1642.29058675728
TARA_78 1820.1936142022 4518.50725554886 4587.95609276333 4808.65439138286 4654.81860456202 4734.62490593736 4807.52077141269 4841.42127661755 4805.336012555 4845.0558795132 5040.76162889996 2559.55414070169 2604.10742449243 2618.44906666807 2640.88928321103 2650.77489846004 3055.26611835488 2973.31980782245 2185.07782366307 2482.51480880781 2161.60723695238 2043.53462211846 874.432139564271 880.360343324026 767.183111435298 640.651997076938 610.533095358966 278.77414968776 NA 189.80304238283 424.556577405124 430.639090166053 602.555067006121 641.413124678208 1210.1344887282
TARA_80 1798.36724732855 4515.93863031382 4585.38746752829 4804.58999011232 4652.24997932698 4732.05628070232 4804.95214617765 4838.85265138251 4802.76738731996 4843.96251308618 5038.19300366491 2556.98551546664 2601.53879925739 2615.88044143302 2638.32065797599 2648.20627322499 3052.69749311984 2970.75118258741 2164.82363232101 2461.83979627708 2141.22734388361 2023.15472904969 908.11922000764 914.089358227957 753.520811483803 673.802963037526 590.495235078261 274.082749408019 189.80304238283 NA 85.1005294233984 85.1817696373631 190.612500568328 228.016932650023 790.582688138779
TARA_81 2044.91648466158 4656.18486804728 4725.63370526175 4948.21834443881 4792.49621706044 4872.30251843578 4945.19838391111 4979.09888911597 4943.01362505342 4978.27744395995 5178.43924139837 2697.23175320011 2741.78503699085 2756.12667916649 2778.56689570945 2788.45251095845 3192.9437308533 3110.99742032087 2404.41570066845 2701.43186462452 2380.81941223105 2262.74679739713 951.012437188499 981.082487693876 658.942246691505 892.137876421411 829.88987496794 513.626780801558 424.556577405124 85.1005294233984 NA 168.660176835784 238.331941737594 269.524900308153 599.837715847386
TARA_82 2026.5483301928 4398.7895685976 4468.23840581207 4697.52255880164 4535.10091761075 4614.90721898609 4687.80308446142 4721.70358966628 4685.61832560373 4723.49327432013 4921.04394194869 2439.83645375042 2484.38973754117 2498.7313797168 2521.17159625977 2531.05721150877 2935.54843140361 2853.60212087118 2405.04076314261 2702.05692709868 2381.44447470521 2263.37185987129 915.23651709444 945.310865027755 620.004564742118 841.115594616422 830.712365899861 514.251843275719 430.639090166053 85.1817696373631 168.660176835784 NA 111.550091701989 156.379040977836 708.118906376822
TARA_83 3749.35993971621 4483.00935580386 4552.46189301596 4783.58743926691 4619.30453185982 4699.19532904046 4771.87494797684 4806.10310846201 4769.96707669228 4808.10438529936 5005.32304681926 2524.19553550503 2568.48290109249 2583.1861306901 2605.29191707784 2615.37104057895 3020.60427216367 2936.380824499 3056.19790474596 3420.60668422356 3562.14545069119 3119.39050191939 923.343394403982 953.619183417031 630.860227532306 851.330379483738 1522.84657235909 1781.40803920903 602.555067006121 190.612500568328 238.331941737594 111.550091701989 NA 305.539348159511 763.851238980223
TARA_84 2988.47931664469 4544.84348172038 4614.29231893485 4843.50814209573 4681.15483073354 4760.96113210888 4833.85699758421 4867.75750278907 4831.67223872652 4870.00533409077 5067.09785507147 2585.8903668732 2630.44365066395 2644.78529283958 2667.22550938255 2677.11112463155 3081.6023445264 2999.65603399397 3118.2220158682 3479.96581470665 3332.87661221563 3181.7272091701 939.590259261525 968.504108088938 643.014681849982 859.782366532432 1534.22918725933 1465.68398078614 641.413124678208 228.016932650023 269.524900308153 156.379040977836 305.539348159511 NA 449.087538064883
TARA_85 3192.61942447168 4621.80214981825 4691.25098703272 4914.90551034985 4758.11349883141 4837.91980020674 4910.81566568207 4944.71617088693 4908.63090682438 4931.81527332075 5142.96076385203 3049.00308127434 3093.55636506508 3107.89800724072 3130.33822378368 3140.22383903269 3544.71505892753 3462.7687483951 3552.92674450827 3849.94290846434 3529.33045607087 3411.25784123696 1184.4782209309 1238.43310267795 701.225615310455 1007.98500158913 1706.39565167328 1642.29058675728 1210.1344887282 790.582688138779 599.837715847386 708.118906376822 763.851238980223 449.087538064883 NA
